			<2024-2>

05. 05:19:27>Funktionstest gestartet
05. 05:20:53>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:3)
05. 05:20:53>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:4)
05. 05:20:54>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:5)
05. 05:20:54>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:7)
05. 05:20:55>Leuchtenstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:16)
05. 05:20:55>Leuchtenstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:2)
05. 05:20:56>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:3)
05. 05:20:56>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:4)
05. 05:20:57>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:5)
05. 05:20:57>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:6)
05. 05:20:57>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:7)
05. 05:20:58>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:8)
05. 05:20:58>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:20)
05. 05:20:59>Funktionstest mit Fehlern beendet
12. 05:19:56>Funktionstest gestartet
12. 05:21:22>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:3)
12. 05:21:22>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:4)
12. 05:21:23>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:5)
12. 05:21:23>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:7)
12. 05:21:24>Leuchtenstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:16)
12. 05:21:25>Leuchtenstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:2)
12. 05:21:25>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:3)
12. 05:21:25>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:4)
12. 05:21:26>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:5)
12. 05:21:26>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:6)
12. 05:21:27>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:7)
12. 05:21:27>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:8)
12. 05:21:28>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:20)
12. 05:21:29>Funktionstest mit Fehlern beendet
19. 05:19:53>Funktionstest gestartet
19. 05:21:35>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:3)
19. 05:21:36>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:4)
19. 05:21:36>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:5)
19. 05:21:37>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:7)
19. 05:21:37>Leuchtenstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:16)
19. 05:21:37>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:17)
19. 05:21:38>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:18)
19. 05:21:38>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:19)
19. 05:21:39>Leuchtenstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:2)
19. 05:21:40>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:3)
19. 05:21:40>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:4)
19. 05:21:40>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:5)
19. 05:21:41>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:6)
19. 05:21:41>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:7)
19. 05:21:42>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:8)
19. 05:21:42>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:15)
19. 05:21:43>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:17)
19. 05:21:43>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:19)
19. 05:21:43>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:2, Leuchte:20)
19. 05:21:45>Funktionstest mit Fehlern beendet
26. 05:20:17>Funktionstest gestartet
26. 05:21:58>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:3)
26. 05:21:58>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:4)
26. 05:21:59>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:5)
26. 05:21:59>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:7)
26. 05:21:59>Leuchtenstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:16)
26. 05:22:00>Leuchtenkommunikationsstörung (Bus:1, Platz:1, Stromkreis:1, Leuchte:17)
